column A,column B,column C,column  D,column E,column F,column G,column H,column I,column J,column K,column L
ISO3,Countries and areas,Region,Sub-region,Income Group,Total,Rural (Residence),Urban (Residence),Poorest (Wealth quintile),Richest (Wealth quintile),Data source,Time period
DZA,Algeria,MENA,MENA,Upper middle income (UM),24%,9%,32%,1%,77%,Multiple Indicator Cluster Survey,2018-19
AGO,Angola,SSA,ESA,Lower middle income (LM),17%,2%,24%,0%,62%,Demographic and Health Survey,2015-16
ARM,Armenia,ECA,EECA,Upper middle income (UM),81%,71%,88%,47%,99%,Demographic and Health Survey,2015-16
BGD,Bangladesh,SA,SA,Lower middle income (LM),37%,33%,52%,9%,76%,Multiple Indicator Cluster Survey,2019
BRB,Barbados,LAC,LAC,High income (H),66%,61%,69%,10%,98%,Multiple Indicator Cluster Survey,2012
BEN,Benin,SSA,WCA,Low income (L),4%,1%,7%,0%,16%,Demographic and Health Survey,2017-18
BOL,Bolivia,LAC,LAC,Lower middle income (LM),12%,4%,17%,,,EDSA,2016
BIH,Bosnia and Herzegovina,ECA,EECA,Upper middle income (UM),59%,51%,76%,8%,96%,Multiple Indicator Cluster Survey,2011-12
BRA,Brazil,LAC,LAC,Upper middle income (UM),83%,51%,89%,84%,97%,"Brazil Continuous National Household Sample Survey (Continuous PNAD) 2018, IBGE.",2018
BGR,Bulgaria,ECA,EECA,Upper middle income (UM),76%,66%,81%,35%,97%,Bulgarian Longitudinal Inclusive Society Survey (BLISS) 2013,2013
BFA,Burkina Faso,SSA,WCA,Low income (L),1%,1%,4%,1%,5%,Demographic and Health Survey,2010
CMR,Cameroon,SSA,WCA,Lower middle income (LM),5%,0%,10%,0%,24%,Multiple Indicator Cluster Survey,2014
CAF,Central African Republic,SSA,WCA,Low income (L),4%,1%,9%,0%,16%,Multiple Indicator Cluster Survey,2018-19
TCD,Chad,SSA,WCA,Low income (L),2%,1%,8%,0%,9%,Multiple Indicator Cluster Survey,2019
CHL,Chile,LAC,LAC,High income (H),86%,70%,89%,73%,99%,CASEN,2017
CHN,China,EAP,EAP,Upper middle income (UM),57%,50%,91%,,90%,CHARLS ,2018
COL,Colombia,LAC,LAC,Upper middle income (UM),36%%,5%,48%%,1%,98%,Demographic and Health Survey,2015-16
